Title,Company,Deadline,Location,Link
Junior Accountant,Step Consulting LLC,20 July 2020,Yerevan,https://staff.am/en/junior-accountant-21
Trainer,«Teghout» CJSC ,08 July 2020,Alaverdi,https://staff.am/en/trainer-16
Digital Marketing Specialist,Network Zone,30 July 2020,Yerevan,https://staff.am/en/digital-marketing-specialist-216
Անվտանգության աշխատակից (իգական),Atenk Ltd,15 July 2020,Yerevan,https://staff.am/en/anvtangutyan-asxatakic-igakan-1
Graphic Designer ,Network Zone,30 July 2020,Yerevan,https://staff.am/en/graphic-designer-373
Senior Product Manager - Mobile Applications,DISQO,30 July 2020,Yerevan,https://staff.am/en/senior-product-manager-mobile-applications-1
"Associate Software Development Engineer in Test , Front-End",DISQO,30 July 2020,Yerevan,https://staff.am/en/associate-software-development-engineer-in-test-front-end
QA tester, Joomag,30 July 2020,Yerevan,https://staff.am/en/qa-tester-11
SMM specialist ,Renderforest,30 July 2020,Yerevan,https://staff.am/en/smm-specialist-333
System Administrator/DevOps,Հայ-Թեք Գեթվեյ ՍՊԸ հ/մ,30 July 2020,Yerevan,https://staff.am/en/system-administratordevops-10
ՏԵԽՆԻԿԱԿԱՆ ԱՋԱԿՑՈՒԹՅԱՆ ՄԱՍՆԱԳԵՏ,Հայ-Թեք Գեթվեյ ՍՊԸ հ/մ,30 July 2020,Yerevan,https://staff.am/en/texnikakan-ajakcutyan-masnaget-18
ՄԱՐՔԵԹԻՆԳԻ ՄԱՍՆԱԳԵՏ,Genacvale Tavern,30 July 2020,Yerevan,https://staff.am/en/marketingi-masnaget-72
"DevOps Engineer, Communications Services",DataArt Armenia,30 July 2020,Yerevan,https://staff.am/en/devops-engineer-communications-services
 Translator,FCl Urartu SNGO,30 July 2020,Yerevan,https://staff.am/en/translator-23
Experienced UI-UX Designer/UI Artist,MINNOVA.AM,30 July 2020,Yerevan,https://staff.am/en/experienced-ui-ux-designerui-artist
Junior/Mid Game UI Engineer (bootcamp),Rockbite Games,08 July 2020,Yerevan,https://staff.am/en/juniormid-game-ui-engineer-bootcamp-1
"Chief of Party, Armenia Integrity Project",Chemonics International Inc.,08 July 2020,Yerevan,https://staff.am/en/chief-of-party-armenia-integrity-project
Cashier,Ameriabank CJSC,12 July 2020,Yerevan,https://staff.am/en/cashier-49
 Junior Expert /Facilitator of National Determined Contributions Implementation in Armenia,UNDP Armenia Office,07 July 2020,Yerevan,https://staff.am/en/junior-expert-facilitator-of-national-determined-contributions-implementation-in-armenia
«Իջևան» մասնաճյուղի շրջիկ ԸԱ «Տավուշ» ծրագրի սոցիալական աշխատող,SOS Children's Villages Armenia,15 July 2020,Noyemberyan,https://staff.am/en/ijevan-masnacyugi-srjik-a-tavus-cragri-socialakan-asxatog-1
Back-End Software Engineer,BIVAC Armenia CJSC,30 July 2020,Yerevan,https://staff.am/en/back-end-software-engineer-6
Գլխավոր հաշվապահի տեղակալ,ՇԻՆԱՐԱՐԱԿԱՆ ՍՊԸ,30 July 2020,Yerevan,https://staff.am/en/deputy-chief-accountant-19
Front-End Developer,BIVAC Armenia CJSC,30 July 2020,Yerevan,https://staff.am/en/front-end-developer-364
Inbound Communication Team Specialist,Ameriabank CJSC,12 July 2020,Yerevan,https://staff.am/en/inbound-communication-team-specialist-2
Engineering Project Manager,National Instruments AM LLC,29 July 2020,Yerevan,https://staff.am/en/engineering-project-manager
Mid/Senior Angular Developer,Digitain ,15 July 2020,Yerevan,https://staff.am/en/midsenior-angular-developer-9
Պրոցեսինգային համակարգի մասնագետ,Easy Pay LLC,29 July 2020,Yerevan,https://staff.am/en/procesingayin-hamakargi-masnaget-1
Junior Network administrator,ACBA-CREDIT AGRICOLE BANK CJSC,29 July 2020,Yerevan,https://staff.am/en/junior-network-administrator-1
Փաստաբան,Partner Company,29 July 2020,Yerevan,https://staff.am/en/pastaban-14
Специалист-Кассир,Ameriabank CJSC,12 July 2020,Yerevan,https://staff.am/en/specialist-kassir-6
Sr. Product Manager - Marketing,ServiceTitan,29 July 2020,Yerevan,https://staff.am/en/sr-product-manager-marketing
Accountant-cashier,AraratBank OJSC,29 July 2020,Yerevan,https://staff.am/en/accountant-cashier-6
PHP Developer,Studio One,29 July 2020,Yerevan,https://staff.am/en/php-developer-202
account holder,ՍՎԵՏԱ ՍՊԸ,29 July 2020,Yerevan,https://staff.am/en/account-holder
Intermediate Front End Developer (coder),Studio One,29 July 2020,Yerevan,https://staff.am/en/front-end-developer-coder-senior-and-intermediate
Senior Software Engineer (Security Compliance),ServiceTitan,29 July 2020,Yerevan,https://staff.am/en/senior-software-engineer-security-compliance
System Administrator/DevOps,Studio One,29 July 2020,Yerevan,https://staff.am/en/system-administratordevops-7
